Date,Close
1/21/2020,64.5
1/22/2020,66.14
1/23/2020,66.92
1/24/2020,66.53
1/27/2020,64.94
1/28/2020,66.05
1/29/2020,66.01
1/30/2020,65.44
1/31/2020,64.78
2/3/2020,64.22
2/4/2020,64.74
2/5/2020,64.55
2/6/2020,65.75
2/7/2020,64.64
2/10/2020,64.79
2/11/2020,64.81
2/12/2020,65.49
2/13/2020,66.33
2/14/2020,65.88
2/18/2020,66.49
2/19/2020,67.4
2/20/2020,69.32
2/21/2020,69.12
2/24/2020,68.5
2/25/2020,67.35
2/26/2020,61.51
2/27/2020,58.18
2/28/2020,57.61
3/2/2020,57.39
3/3/2020,58.5
3/4/2020,58.86
3/5/2020,56.56
3/6/2020,57.74
3/9/2020,54.18
3/10/2020,57.25
3/11/2020,55.92
3/12/2020,47.82
3/13/2020,49.66
3/16/2020,38.88
3/17/2020,38.72
3/18/2020,35.55
3/19/2020,49.33
3/20/2020,51
3/23/2020,54
3/24/2020,51.89
3/25/2020,53.29
3/26/2020,52.33
3/27/2020,50.59
3/30/2020,49.59
3/31/2020,53.37
4/1/2020,55.73
4/2/2020,53.92
4/3/2020,52.58
4/6/2020,56.83
4/7/2020,56.38
4/8/2020,59.32
4/9/2020,59
4/13/2020,61.59
4/14/2020,64.74
4/15/2020,63.6
4/16/2020,66.54
4/17/2020,65.13
4/20/2020,67.49
4/21/2020,69.51
4/22/2020,69.79
4/23/2020,67.16
4/24/2020,72
4/27/2020,70.73
4/28/2020,71.87
4/29/2020,72.24
4/30/2020,71.92
5/1/2020,71.57
5/4/2020,72.74
5/5/2020,76.16
5/6/2020,76.9
5/7/2020,80.81
5/8/2020,81.2
5/11/2020,83.1
5/12/2020,79.81
5/13/2020,81.05
5/14/2020,80.26
5/15/2020,81.9
5/18/2020,78.11
5/19/2020,78.59
5/20/2020,79.61
5/21/2020,78.65
5/22/2020,77.7
5/26/2020,74.19
5/27/2020,78.76
5/28/2020,75.93
5/29/2020,77.89
6/1/2020,79.64
6/2/2020,81.49
6/3/2020,80.57
6/4/2020,80.38
6/5/2020,79.06
6/8/2020,77.19
6/9/2020,80.37
6/10/2020,81.08
6/11/2020,78.63
6/12/2020,79.04
6/15/2020,78.53
6/16/2020,80.12
6/17/2020,82.88
6/18/2020,82.5
6/19/2020,83.1
6/22/2020,83.95
6/23/2020,83.06
6/24/2020,81.67
6/25/2020,83.25
6/26/2020,79.02
6/29/2020,78.38
6/30/2020,79.41
7/1/2020,82.71
7/2/2020,83.66
7/6/2020,83.19
7/7/2020,83.88
7/8/2020,88.26
7/9/2020,88.67
7/10/2020,88.8
7/13/2020,87.89
7/14/2020,90.98
7/15/2020,93.06
7/16/2020,92.92
7/17/2020,91.73
7/20/2020,94.22
7/21/2020,93.82
7/22/2020,94.5
7/23/2020,92.98
7/24/2020,93.05
7/27/2020,94.35
7/28/2020,91.13
7/29/2020,93.41
7/30/2020,93.25
7/31/2020,94.67
8/3/2020,95.91
8/4/2020,97.71
8/5/2020,99.14
8/6/2020,97.53
8/7/2020,98.11
8/10/2020,94.2
8/11/2020,93.65
8/12/2020,95.17
8/13/2020,97.61
8/14/2020,96.15
8/17/2020,97.03
8/18/2020,98.45
8/19/2020,99.59
8/20/2020,101.73
8/21/2020,99.57
8/24/2020,99.38
8/25/2020,98.69
8/26/2020,97.49
8/27/2020,97.64
8/28/2020,98.62
8/31/2020,98.29
9/1/2020,101.61
9/2/2020,95.04
9/3/2020,91.89
9/4/2020,90.4
9/8/2020,86.52
9/9/2020,88.65
9/10/2020,90.36
9/11/2020,91.37
9/14/2020,88.33
9/15/2020,86.15
9/16/2020,84.57
9/17/2020,83.26
9/18/2020,82.35
9/21/2020,84.47
9/22/2020,87.09
9/23/2020,85.82
9/24/2020,82.37
9/25/2020,81.64
9/28/2020,83.42
9/29/2020,85.77
9/30/2020,82.28
10/1/2020,83.33
10/2/2020,83.27
10/5/2020,83.14
10/6/2020,82.36
10/7/2020,82.15
10/8/2020,80.85
10/9/2020,79.89
10/12/2020,80.14
10/13/2020,82.7
10/14/2020,82.48
10/15/2020,82.65
10/16/2020,81.5
10/19/2020,77.33
10/20/2020,77.37
10/21/2020,77.56
10/22/2020,77.58
10/23/2020,76.74
10/26/2020,77.85
10/27/2020,78.56
10/28/2020,79.84
10/29/2020,76.42
10/30/2020,76.6
11/2/2020,75.51
11/3/2020,74.66
11/4/2020,76.11
11/5/2020,82.28
11/6/2020,83.52
11/9/2020,77.24
11/10/2020,79.67
11/11/2020,83.57
11/12/2020,82.71
11/13/2020,80.98
11/16/2020,79.32
11/17/2020,78.39
11/18/2020,77.33
11/19/2020,79.17
11/20/2020,79.19
11/23/2020,81.24
11/24/2020,83.32
11/25/2020,80.21
11/27/2020,81.55
11/30/2020,80.36
12/1/2020,81.28
12/2/2020,80.47
12/3/2020,81.03
12/4/2020,80.86
12/7/2020,82.06
12/8/2020,85.45
12/9/2020,84.35
12/10/2020,84.23
12/11/2020,84.83
12/14/2020,85.64
12/15/2020,87.34
12/16/2020,87.32
12/17/2020,89.45
12/18/2020,90.47
12/21/2020,87.15
12/22/2020,86.55
12/23/2020,87.26
12/24/2020,87.54
12/28/2020,89.2
12/29/2020,85.52
12/30/2020,84.52
12/31/2020,84.85
1/4/2021,85.34
1/5/2021,90.18
1/6/2021,93.4
1/7/2021,93.72
1/8/2021,93.47
1/11/2021,93.33
1/12/2021,94.14
1/13/2021,93.76
1/14/2021,93.85
1/15/2021,95.2
